STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,10.3,1.9,27,23,143.15,5.9975,7.19,8.16,0.44,7.19,-
Metalimnion,-,-,27,-,141.475,9.6,-,-,0.96,7.08,-
Hypolimnion,-,-,27,40,146.225,23.424999999999997,-,-,2.18,6.64,-
Camp Spofford Inlet Watershed,-,-,33,-,150.6,0.0192,-,-,0.4,7.06,-
Lachance Inlet Watershed,-,-,4,-,49.35,0.0247,-,-,0.63,6.05,-
Moose Hollow Inlet,-,-,24,-,178.3,0.12582500000000002,-,-,30.27,7.03,-
Moose Hollow Watershed,-,-,21,-,188.56666666666666,0.04546666666666667,-,-,3.87,6.56,-
Rt 63 #3 Inlet,-,-,268,-,961.55,0.029650000000000003,-,-,3.52,7.11,-
Rte 63-3 Nw Drainage Ditch,-,-,90,-,357.2,0.0135,-,-,1.92,6.91,-
Rte 63-3 Sw Drainage Ditch,-,-,301,-,981.2,-,-,-,2.97,7.05,-
Seamans Inlet Watershed,-,-,316,-,1210.8333333333333,0.059133333333333336,-,-,3.74,6.74,-
Wares Grove Northeast Inlet,-,-,5,-,67.04,0.00588,-,-,0.35,6.86,-
-,-,-,-,-,-,0.00841,-,-,-,-,-
-,-,-,-,-,-,0.008674999999999999,-,-,-,-,-
